user_id,posted,item_id,recommend,sentiment_analysis,year
76561197970982479,"Posted November 5, 2011.",1250,True,2,2011
76561197970982479,"Posted November 5, 2011.",1250,True,2,2011
76561197970982479,"Posted November 5, 2011.",1250,True,2,2011
js41637,"Posted July 15, 2011.",22200,True,2,2011
js41637,"Posted July 15, 2011.",22200,True,2,2011
js41637,"Posted July 15, 2011.",22200,True,2,2011
evcentric,"Posted April 21, 2011.",43110,True,2,2011
evcentric,"Posted April 21, 2011.",43110,True,2,2011
evcentric,"Posted April 21, 2011.",43110,True,2,2011
evcentric,"Posted April 21, 2011.",43110,True,2,2011
evcentric,"Posted April 21, 2011.",43110,True,2,2011
evcentric,"Posted April 21, 2011.",43110,True,2,2011
doctr,"Posted June 24, 2014.",251610,True,2,2014
doctr,"Posted June 24, 2014.",251610,True,2,2014
doctr,"Posted June 24, 2014.",251610,True,2,2014
doctr,"Posted June 24, 2014.",251610,True,2,2014
doctr,"Posted June 24, 2014.",251610,True,2,2014
doctr,"Posted June 24, 2014.",251610,True,2,2014
maplemage,"Posted September 8, 2013.",227300,True,2,2013
maplemage,"Posted September 8, 2013.",227300,True,2,2013
maplemage,"Posted September 8, 2013.",227300,True,2,2013
maplemage,"Posted September 8, 2013.",227300,True,2,2013
Wackky,"Posted November 29, 2013.",239030,True,2,2013
Wackky,"Posted November 29, 2013.",239030,True,2,2013
Wackky,"Posted November 29, 2013.",239030,True,2,2013
Wackky,"Posted November 29, 2013.",239030,True,2,2013
Wackky,"Posted November 29, 2013.",239030,True,2,2013
MeaTCompany,"Posted December 4, 2015.",370360,True,2,2015
76561198089393905,"Posted November 3, 2014.",237930,True,2,2014
76561198089393905,"Posted November 3, 2014.",237930,True,2,2014
76561198156664158,"Posted October 15, 2014.",263360,True,1,2014
76561198077246154,"Posted October 15, 2014.",107200,True,2,2014
76561198077246154,"Posted October 15, 2014.",107200,True,2,2014
WeiEDKrSat,"Posted October 15, 2014.",224500,True,2,2014
thequeenpanda,"Posted October 14, 2013.",250320,True,2,2013
death-hunter,"Posted July 28, 2012.",20920,True,2,2012
death-hunter,"Posted July 28, 2012.",20920,True,2,2012
death-hunter,"Posted July 28, 2012.",20920,True,2,2012
DJKamBer,"Posted June 2, 2012.",204100,True,2,2012
